API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Mar 20 07:11:13 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Aug-11 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -7.152424144751042E-01, -7.657679282155083E-02,  4.021840885158845E-02,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -7.129305624725462E-01, -9.674506844308307E-02,  3.980803349130234E-02,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -7.100548621866327E-01, -1.168368333127623E-01,  3.936617432976732E-02,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -7.066178541656504E-01, -1.368362408659715E-01,  3.889319558970378E-02,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -7.026225249497441E-01, -1.567275334742259E-01,  3.838948600657677E-02,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -6.980723037793267E-01, -1.764950551282711E-01,  3.785545846442005E-02,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -6.929710589394584E-01, -1.961232639865977E-01,  3.729154961250526E-02,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -6.873230937462482E-01, -2.155967447787488E-01,  3.669821946335013E-02,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -6.811331421816359E-01, -2.349002210530911E-01,  3.607595097257338E-02,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -6.744063641832213E-01, -2.540185672590317E-01,  3.542524960111872E-02,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -6.671483405960855E-01, -2.729368206539745E-01,  3.474664286038169E-02,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -6.593650677938163E-01, -2.916401930256297E-01,  3.404067984078628E-02,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -6.510629519761739E-01, -3.101140822205349E-01,  3.330793072437580E-02,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000, -6.422488031511342E-01, -3.283440834702062E-01,  3.254898628197026E-02,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000, -6.329298288091786E-01, -3.463160005063374E-01,  3.176445735548779E-02,
