API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Mar 17 19:04:30 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -2.933582835667315E-01, -1.451123103951722E+00, -2.321561977006904E-02,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -2.791016711979233E-01, -1.452629063025500E+00, -2.359688143683292E-02,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -2.648195531316359E-01, -1.454002264127953E+00, -2.397598646566393E-02,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -2.505131721611051E-01, -1.455242238585347E+00, -2.435289454789119E-02,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -2.361837799879376E-01, -1.456348528936454E+00, -2.472756539110170E-02,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -2.218326371404300E-01, -1.457320689106410E+00, -2.509995872497791E-02,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -2.074610128892827E-01, -1.458158284580926E+00, -2.547003430692978E-02,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -1.930701851600538E-01, -1.458860892579329E+00, -2.583775192768739E-02,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -1.786614404413236E-01, -1.459428102226816E+00, -2.620307141731436E-02,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -1.642360736887954E-01, -1.459859514727238E+00, -2.656595265163317E-02,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -1.497953882266751E-01, -1.460154743536775E+00, -2.692635555846126E-02,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -1.353406956468973E-01, -1.460313414537465E+00, -2.728424012332232E-02,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -1.208733157049436E-01, -1.460335166209891E+00, -2.763956639512944E-02,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000, -1.063945762108344E-01, -1.460219649805539E+00, -2.799229449252847E-02,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000, -9.190581291566230E-02, -1.459966529519704E+00, -2.834238461078382E-02,
